ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
1	indv	3-jk	left	dlh0	classification	_None	oneclassSVM	True	1000	None
2	indv	3-jk	left	dlh1	classification	_None	oneclassSVM	True	1000	None
3	indv	3-jk	left	dlh2	classification	_None	oneclassSVM	True	1000	None
4	indv	1-sf	left	dlh0	classification	_None	oneclassSVM	True	1000	None
5	indv	1-sf	left	dlh1	classification	_None	oneclassSVM	True	1000	None
6	indv	1-sf	left	dlh2	classification	_None	oneclassSVM	True	1000	None
7	indv	10-rc	left	dlh0	classification	_None	oneclassSVM	True	1000	None
8	indv	10-rc	left	dlh1	classification	_None	oneclassSVM	True	1000	None
9	indv	10-rc	left	dlh2	classification	_None	oneclassSVM	True	1000	None
10	indv	12-mb	left	dlh0	classification	_None	oneclassSVM	True	1000	None
11	indv	12-mb	left	dlh1	classification	_None	oneclassSVM	True	1000	None
12	indv	12-mb	left	dlh2	classification	_None	oneclassSVM	True	1000	None
13	indv	17-sb	left	dlh0	classification	_None	oneclassSVM	True	1000	None
14	indv	17-sb	left	dlh1	classification	_None	oneclassSVM	True	1000	None
15	indv	17-sb	left	dlh2	classification	_None	oneclassSVM	True	1000	None
16	indv	19-me	left	dlh0	classification	_None	oneclassSVM	True	1000	None
17	indv	19-me	left	dlh1	classification	_None	oneclassSVM	True	1000	None
18	indv	19-me	left	dlh2	classification	_None	oneclassSVM	True	1000	None
19	indv	2-bd	left	dlh0	classification	_None	oneclassSVM	True	1000	None
20	indv	2-bd	left	dlh1	classification	_None	oneclassSVM	True	1000	None
21	indv	2-bd	left	dlh2	classification	_None	oneclassSVM	True	1000	None
22	indv	22-ap	left	dlh0	classification	_None	oneclassSVM	True	1000	None
23	indv	22-ap	left	dlh1	classification	_None	oneclassSVM	True	1000	None
24	indv	22-ap	left	dlh2	classification	_None	oneclassSVM	True	1000	None
25	indv	31-ns	left	dlh0	classification	_None	oneclassSVM	True	1000	None
26	indv	31-ns	left	dlh1	classification	_None	oneclassSVM	True	1000	None
27	indv	31-ns	left	dlh2	classification	_None	oneclassSVM	True	1000	None
28	indv	32-rf	left	dlh0	classification	_None	oneclassSVM	True	1000	None
29	indv	32-rf	left	dlh1	classification	_None	oneclassSVM	True	1000	None
30	indv	32-rf	left	dlh2	classification	_None	oneclassSVM	True	1000	None
31	indv	36-af	left	dlh0	classification	_None	oneclassSVM	True	1000	None
32	indv	36-af	left	dlh1	classification	_None	oneclassSVM	True	1000	None
33	indv	36-af	left	dlh2	classification	_None	oneclassSVM	True	1000	None
34	indv	38-cs	left	dlh0	classification	_None	oneclassSVM	True	1000	None
35	indv	38-cs	left	dlh1	classification	_None	oneclassSVM	True	1000	None
36	indv	38-cs	left	dlh2	classification	_None	oneclassSVM	True	1000	None
37	indv	39-dg	left	dlh0	classification	_None	oneclassSVM	True	1000	None
38	indv	39-dg	left	dlh1	classification	_None	oneclassSVM	True	1000	None
39	indv	39-dg	left	dlh2	classification	_None	oneclassSVM	True	1000	None
40	indv	4-rs	left	dlh0	classification	_None	oneclassSVM	True	1000	None
41	indv	4-rs	left	dlh1	classification	_None	oneclassSVM	True	1000	None
42	indv	4-rs	left	dlh2	classification	_None	oneclassSVM	True	1000	None
43	indv	41-pk	left	dlh0	classification	_None	oneclassSVM	True	1000	None
44	indv	41-pk	left	dlh1	classification	_None	oneclassSVM	True	1000	None
45	indv	41-pk	left	dlh2	classification	_None	oneclassSVM	True	1000	None
46	indv	43-cm	left	dlh0	classification	_None	oneclassSVM	True	1000	None
47	indv	43-cm	left	dlh1	classification	_None	oneclassSVM	True	1000	None
48	indv	43-cm	left	dlh2	classification	_None	oneclassSVM	True	1000	None
49	indv	7-sb	left	dlh0	classification	_None	oneclassSVM	True	1000	None
50	indv	7-sb	left	dlh1	classification	_None	oneclassSVM	True	1000	None
51	indv	7-sb	left	dlh2	classification	_None	oneclassSVM	True	1000	None
